id,glb_tipo_entidad_salud_id,codigo_entidad,glb_tipo_identificacion_id,identificacion,razon_social,direccion,telefono_fijo,telefono_movil,pagina_web,email,representante_legal,telefono,user_id,created_at,updated_at,deleted_at
37,1,EPS026,21,8040012735,SSS Solidaria De Salud Solsalud S.A.,Carrera 26 #30-70,(976) 352211 Ext. 122 � 123 - 6350074,,,,,,1,2022-01-21 08:25:32.406702,,
38,1,EPS033,21,8300741845,SSS Saludvida Actual Subsidiado,Cr 5 # 41-42,2669694,,,,CLAUDIA HELENA DIAZ LOZANO,,1,2022-01-21 08:25:32.406702,,
39,1,EPS034,21,8050219842,SSS Salud colombia EPS S.A.,Carrera 44 #5E-47 Barrio Tequendama     ,(092) 5529364                     (091)  2889409   -  288946,,,,,,1,2022-01-21 08:25:32.406702,,
40,1,EPS035,21,8300965131,SSS Redsalud Atencion Humana EPS S.A.,Calle 100 #19-61 Piso 8,6353459 - 6353538,,,,,,1,2022-01-21 08:25:32.406702,,
41,1,EPS037,21,900156264,Nueva EPS Movilidad Subsidiado,KRA 4D No. 31-37 Barrio Cadiz,2663000,,,,LUISA FERNANDA MALAMBO,,1,2022-01-21 08:25:32.406702,,
42,1,14-ene,21,8600274041,SSS Aseguradora De Vida Colseguros S.A.,Carrera 13 No 29 - 24,071 - 218 30 18,,,,,,1,2022-01-21 08:25:32.406702,,
43,1,14-17,21,8605036173,SSS Seguros De Vida Alfa S.A.,Carrera 13 No. 27 - 47 Piso 22  Y 23,071 - 287 59 11,,,,,,1,2022-01-21 08:25:32.406702,,
44,1,14-18,21,8600086457,SSS Liberty Seguros De Vida S.A.,Calle 71 A No. 6 - 30 Piso 14,071 - 346 20 79,,,,,,1,2022-01-21 08:25:32.406702,,
45,1,14-19,21,8600091744,SSS Seguros De Vida Del Estado S.A.,Carrera 11 No. 90 - 20 ,071 - 218 30 18,,,,,,1,2022-01-21 08:25:32.406702,,
46,1,14-23,21,8600111536,SSS La Previsora Vida S.A. Compa��a De Seguros,Carrera 7 No. 26 - 20 Piso 5,071 - 232 46 73 ,,,,,,1,2022-01-21 08:25:32.406702,,
47,1,14-25,21,8002261753,SSS Colmena Riesgos Profesionales S.A.,Avenida El Dorado No. 69C - 03 Piso 5,071 - 324 11 11 y  2502,,,,,,1,2022-01-21 08:25:32.406702,,
48,1,14-26,21,8002408820,SSS BBVA Seguros De Vida S.A.,Calle 72 No 7 - 64 ,071 - 312 26 30,,,,,,1,2022-01-21 08:25:32.406702,,
49,1,14-28,21,8002561619,SSS Suratep SA,Carrera 50 No. 52 - 50 Piso 10 Club Uni�n,074 - 511 35 45,,,,,,1,2022-01-21 08:25:32.406702,,
50,1,14-29,21,8300086861,SSS La Equidad Seguros De Vida,Calle 19 No. 6 - 68 Piso 11,071 - 284 19 00,,,,,,1,2022-01-21 08:25:32.406702,,
51,1,14-abr,21,8600021839,SSS Seguros De Vida Colpatria S.A.,Carrera 7 No. 24 - 89 ,071 - 336 46 77,,,,,,1,2022-01-21 08:25:32.406702,,
52,1,14-may,21,8600025286,SSS Compa�ia Agricola De Seguros De Vida S.A.,Carrera 11 No. 93 - 46 - Piso 9,071 - 635 08 87,,,,,,1,2022-01-21 08:25:32.406702,,
53,1,14-jul,21,8600025032,SSS Seguros Bolivar S.A.,Carrera 10 No. 16 - 39 ,071 - 341 00 77,,,,,,1,2022-01-21 08:25:32.406702,,
54,1,14-ago,21,8600221375,SSS Compa��a De Seguros De Vida Aurora S.A.,Carrera 7 No. 74 - 21 Piso 1,071 - 212 74 06,,,,,,1,2022-01-21 08:25:32.406702,,
55,1,25-oct,21,8600138161,SSS Aseguradora De Vida Colseguros S.A.,Avenida 15 No 100 - 43 ,071 - 523 27 20 ,,,,,,1,2022-01-21 08:25:32.406702,,
56,1,3,21,800006150,SSS Emcomsalud,Ibague,,,,,,,1,2022-01-21 08:25:32.406702,,
57,1,EPS039,21,900074992-3,Golden Group EPS,,,,,,,,1,2022-01-21 08:25:32.406702,,
58,1,EPS041,21,900156264,Nueva EPS S.A. Movilidad,,,,,,,,1,2022-01-21 08:25:32.406702,,
59,1,EPS044,21,901097473,Medimas EPS S.A.S,KRA 5 No. 28-85 PISO 4,3008960345,,,lalvarez1975@gmail.com,CLARA INES BARRETO CASTILLO,,1,2022-01-21 08:25:32.406702,,
60,1,EPS045,21,901097473,Medimas EPS S.A.S.,KRA 5 No. 28-85 PISO 4,3008960345,,,lalvarez1975@gmail.com,CLARA INES BARRETO CASTILLO,,1,2022-01-21 08:25:32.406702,,
61,1,EPSC03,21,8001409496,Cafesalud Entidad Promotora de Salud S.A,,,,,,,,1,2022-01-21 08:25:32.406702,,
62,1,EPSC33,21,830074184,Saludvida S.A. EPS Movilidad,,,,,,CLAUDIA HELENA DIAZ LOZANO,,1,2022-01-21 08:25:32.406702,,
63,1,ESSC33,21,804002105,"Cooperativa de Salud Comunitaria ""Comparta"". Comparta",Calle 38 No. 4D-30,,,,,JORGE ANDRES CORTES,,1,2022-01-21 08:25:32.406702,,
64,1,ESSC62,21,817000248,Asociacion Mutual La Esperanza Asmet Salud. Asmet Salud,,,,,,,,1,2022-01-21 08:25:32.406702,,
65,1,CCF037,21,1,Comfenalco - Caja De Compensacion Familiar De Fenalco Del Tolima,,,,,,,,1,2022-01-21 08:25:32.406702,,
66,1,EPSS14,21,1,Humana Vivir SA EPS,,,,,,,,1,2022-01-21 08:25:32.406702,,
67,1,EPSS26,21,1,Solidaria De Salud Solsalud Entidad Promotra De Salud Del. Regimen Contributivo Y Subsidiado,,,,,,,,1,2022-01-21 08:25:32.406702,,
68,1,EPSS44,21,1,Medimas Mov,KRA 5 No. 28-85 PISO 4,3008960345,,,lalvarez1975@gmail.com,CLARA INES BARRETO CASTILLO,,1,2022-01-21 08:25:32.406702,,
69,1,EPSS45,21,901097473,Medimas EPS S.A.S,KRA 5 No. 28-85 PISO 4,3008960345,,,lalvarez1975@gmail.com,CLARA INES BARRETO CASTILLO,,1,2022-01-21 08:25:32.406702,,
71,1,ESS062,21,1,Asociaci�n Mutual La Esperanza Asmet Salud,,,,,,,,1,2022-01-21 08:25:32.406702,,
72,1,ESS133,21,A,Comparta Ess - Cooperativa De Salud Comunitaria Empresa Solidaria De Salud Comparta Salud LTDA,Calle 38 No. 4D-30,,,,,JORGE ANDRES CORTES,,1,2022-01-21 08:25:32.406702,,
73,1,RES004,21,1,Fondo De Prestaciones Sociales Del Magisterio,,,,,,,,1,2022-01-21 08:25:32.406702,,
74,1,ESSC02,21,811004055,Empresa Mutual para el desarrollo integral de la salud E.S.S. Emdisalud ESS,,,,,,,,1,2022-01-21 08:25:32.406702,,
75,1,EPSC34,21,900298372,Capital Salud EPSS S.A.S.,,,,,,,,1,2022-01-21 08:25:32.406702,,
76,1,EPSC22,21,899999107,Entidad Administradora de R��gimen Subsidiado Convida,,,,,,,,1,2022-01-21 08:25:32.406702,,
77,1,CCFC53,21,860045904,Comfacundi - CCF de Cundinamarca,,,,,,,,1,2022-01-21 08:25:32.406702,,
78,1,CCFC55,21,890102044,Cajacopi Atlantico  CCF,,,,,,,,1,2022-01-21 08:25:32.406702,,
79,1,ESSC07,21,806008394,Asociacion Mutual Ser Empresa Solidaria de Salud ESS,,,,,,,,1,2022-01-21 08:25:32.406702,,
80,1,EPS040,21,900604350,Caja de Compensaci��n Familiar de Antioqu��a - Comfama - Hoy Savia Salud EPS,,,,,,,,1,2022-01-21 08:25:32.406702,,
81,1,MIN001,21,900462447-5,Fondo de Solidaridad y Garant�a Fosyga,,,,,,,,1,2022-01-21 08:25:32.406702,,
82,1,MIN002,21,900462447-5,Fondo de Solidaridad y Garant�a Fosyga,,,,,,,,1,2022-01-21 08:25:32.406702,,
83,1,MIN003,21,900462447-5,Fondo de Solidaridad y Garant�a Fosyga,,,,,,,,1,2022-01-21 08:25:32.406702,,
84,1,RES005,21,890102257-3,Universidad del Atl�ntico,,,,,,,,1,2022-01-21 08:25:32.406702,,
85,1,RES006,21,890203183-0,Universidad Industrial de Santander,,,,,,,,1,2022-01-21 08:25:32.406702,,
86,1,RES007,21,890399010-6,Universidad del Valle,,,,,,,,1,2022-01-21 08:25:32.406702,,
87,1,RES008,21,899999063-3,Universidad Nacional de Colombia,,,,,,,,1,2022-01-21 08:25:32.406702,,
88,1,RES009,21,891500319-2,Universidad del Cauca,,,,,,,,1,2022-01-21 08:25:32.406702,,
89,1,RES011,21,890980040-8,Universidad de Antioquia,,,,,,,,1,2022-01-21 08:25:32.406702,,
90,1,RES012,21,891080031-3,Universidad de C�rdoba,,,,,,,,1,2022-01-21 08:25:32.406702,,
91,1,RES014,21,891800330-1,Universidad Pedag�gica y Tecnol�gica de Colombia - UPTC,,,,,,,,1,2022-01-21 08:25:32.406702,,
92,1,EPSC25,21,891856000,Capresoca EPS,,,,,,,,1,2022-01-21 08:25:32.406702,,
93,1,EPSIC1,21,824001398,Asociaci�n de Cabildos Ind�genas del Cesar �Dusakawi�,,,,,,,,1,2022-01-21 08:25:32.406702,,
94,1,EPSIC2,21,812002376,Asociaci�n de Cabildos Ind�genas del Resguardo Ind�gena Zen� de San Andr�s de Sotavento C�rdoba - Su,,,,,,,,1,2022-01-21 08:25:32.406702,,
95,1,EPSIC3,21,817001773,Asociaci�n Ind�gena del Cauca - A.I.C.,,,,,,,,1,2022-01-21 08:25:32.406702,,
96,1,EPSIC4,21,839000495,Entidad Promotora de Salud Anas Wayuu EPSI,,,,,,,,1,2022-01-21 08:25:32.406702,,
97,1,EPSIC5,21,837000084,Entidad Promotora de Salud Mallamas EPSI,,,,,,,,1,2022-01-21 08:25:32.406702,,
98,1,ESSC18,21,814000337,Asociaci�n Mutual Empresa Solidaria de Salud de Nari�o E.S.S. Emssanar E.S.S.,,,,,,,,1,2022-01-21 08:25:32.406702,,
99,1,ESSC24,21,800249241,Cooperativa De Salud Y Desarrollo Integral Zona Sur Oriental De Cartagena Ltda. Coosalud E.S.S.,,,,,,,,1,2022-01-21 08:25:32.406702,,
100,1,ESSC76,21,818000140,Asociaci�n Mutual Barrios Unidos de Quibd� E.S.S. AMBUQ,,,,,,,,1,2022-01-21 08:25:32.406702,,
101,1,ESSC91,21,832000760,Entidad Cooperativa Solidaria de Salud Ecoopsos,,,,,,,,1,2022-01-21 08:25:32.406702,,
102,1,EPS 040,21,900604350,Caja de Compensaci�n Familiar de Antioqu�a - Comfama - Hoy Savia Salud EPS,,,,,,,,1,2022-01-21 08:25:32.406702,,
103,1,CCFC09,21,891800213,Comfaboy EPS-CCF de Boyac�,,,,,,,,1,2022-01-21 08:25:32.406702,,
104,1,CCFC15,21,891080005,Comfacor EPS � CCF de C�rdoba,,,,,,,,1,2022-01-21 08:25:32.406702,,
105,1,CCFC20,21,891600091,Comfachoco � CCF del Choc�,,,,,,,,1,2022-01-21 08:25:32.406702,,
106,1,CCFC23,21,892115006,Caja de Compensaci�n Familiar de La Guajira,,,,,,,,1,2022-01-21 08:25:32.406702,,
107,1,CCFC24,21,891180008,Comfamiliar Huila EPS � CCF,,,,,,,,1,2022-01-21 08:25:32.406702,,
108,1,CCFC27,21,891280008,Comfamiliar de Nari�o EPS � CCF,,,,,,,,1,2022-01-21 08:25:32.406702,,
109,1,CCFC33,21,892200015,Comfasucre EPS-CCF de Sucre,,,,,,,,1,2022-01-21 08:25:32.406702,,
110,1,230201,21,800229739-0,Protecci�n,,,,,,,,1,2022-01-21 08:25:32.406702,,
111,1,230301,21,800224808-8,Porvenir,,,,,,,,1,2022-01-21 08:25:32.406702,,
112,1,230901,21,800253055-2,Old Mutual Fondo de Pensiones Obligatorias,,,,,,,,1,2022-01-21 08:25:32.406702,,
113,1,230904,21,830125132-2,Old Mutual Fondo Alternativo de Pensiones,,,,,,,,1,2022-01-21 08:25:32.406702,,
114,1,231001,21,800227940-6,Colfondos,,,,,,,,1,2022-01-21 08:25:32.406702,,
115,1,25-feb,21,860007379-8,Caja de Auxilios y de Prestaciones de ACDAC,,,,,,,,1,2022-01-21 08:25:32.406702,,
116,1,25-mar,21,899999734-7,Fondo de Previsi�n Social del Congreso,,,,,,,,1,2022-01-21 08:25:32.406702,,
117,1,25-jul,21,800216278-0,Pensiones de Antioquia,,,,,,,,1,2022-01-21 08:25:32.406702,,
118,1,25-14,21,900336004-7,Administradora Colombiana de Pensiones Colpensiones,,,,,,,,1,2022-01-21 08:25:32.406702,,
119,1,PAESAP,21,899999054-7,Escuela Superior de Administraci�n Publica,,,,,,,,1,2022-01-21 08:25:32.406702,,
120,1,PAICBF,21,899999239-2,Instituto Colombiano de Bienestar Familiar,,,,,,,,1,2022-01-21 08:25:32.406702,,
121,1,PAMIED,21,899999001-7,Ministerio de Educaci�n Nacional,,,,,,,,1,2022-01-21 08:25:32.406702,,
122,1,PASENA,21,899999034-1,Servicio Nacional de Aprendizaje Sena,,,,,,,,1,2022-01-21 08:25:32.406702,,
123,1,EPSS08,21,0,Compensar Entidad Promotora de Salud,,,,,,,,1,2022-01-21 08:25:32.406702,,
124,1,ESS091,21,0,Entidad cooperativa solidaria de salud Ecoopsos ESS ARS,,,,,,,,1,2022-01-21 08:25:32.406702,,
125,1,CCF055,21,0,Caja De De Compensacion Familiar Cajacopi Atlantico,Caja De De Compensacion Familiar Cajacopi Atlantico,,,,,,,1,2022-01-21 08:25:32.406702,,
126,1,EPSI05,21,0,Mallamas EPS Indigena,,,,,,,,1,2022-01-21 08:25:32.406702,,
127,1,EPSS18,21,805001157-2,Entidad Promotora De Salud Servicio Occidental De Salud S.A. S.O.S,,,,,notificacionesjudiciales@sos.com.co,,,1,2022-01-21 08:25:32.406702,,
128,1,EPS030,21,814000608,Entidad Promotora De Salud Condor S.A,CALLE 20  N�� 32B-17 -   CALLE 64 # 5 - 35 AP. 706 PASTO - NARI��O,092-7336360,,,info@saludcondor.com.co,,,1,2022-01-21 08:25:32.406702,,
129,1,CCF024,21,891180008,"Caja de CompensaciON Familiar del Huila ""COMFAMILIAR""",,,,,,,,1,2022-01-21 08:25:32.406702,,
130,1,EPSS34,21,900298372,Capital Salud EPS-S S.A.S,,,,,,,,1,2022-01-21 08:25:32.406702,,
131,1,CCF027,21,0,caja de compensación familiar de Narino,,,,,,,,1,2022-01-21 08:25:32.406702,,
132,1,EPS022,21,0,EPS Convida,,,,,,,,1,2022-01-21 08:25:32.406702,,
133,1,ESS076,21,818000140,Asociacion Mutual Barrios Unidos De Quibdo E.S.S.,,,,,,,,1,2022-01-21 08:25:32.406702,,
134,1,ESS024,21,800249241,Cooperativa de salud y desarrollo integral zona sur oriental de Cartagena LTDA. COOSALUD E.S.S,KR 50 # 53-43,45113133,,,,,,1,2022-01-21 08:25:32.406702,,
135,1,ESS207,21,806008394,Asociacion Mutual Ser Empresa Solidaria de Salud ESS,,,,,,,,1,2022-01-21 08:25:32.406702,,
136,1,111111,21,900000000,Entidad EPS de ibague,,,,,lalvarezsalud@gmail.com,,,,2022-02-15 08:01:13.000000,,
